TepA1,TepA2,TepA3,TepA4,TepA5,TepA6,TepA7,TepA8,TepB1,TepB2,TepC1,TepC2,TepC3,TepC4,TepD1,TepD2,TepD3,TepE1,OchA1,OchA2,OchB1,OchB2,OchB3,OchB4,OchC1,OchC2,OchC3,OchC4,OchE1,OchE2,AnaA1,AnaA2,AnaA3,AnaA4,AnaB1,AnaB2,AnaB3,AnaB4,AnaC1,AnaC2,AnaC3,AnaC4,AnaD1,AnaD2,AnaD3,XanA1,XanB1,XanB2,XanB3,XanB4,XanB5,XanC1,XanC2,XanC3,XanD1,XanD2,XanD3,XanE1,DipA1,DipB1,DipB2,DipB3,DipB4,DipB5,DipB6,DipB7,DipC1,DipC2,DipD1,DipD2,DipD3,BueA1,BueB1,BueB2,BueB3,BueC1,Roc1,Roc2,Roc3
137,143,142,92,0,0,358,356,229,170,120,65,118,142,196,138,89,0,0,0,0,0,0,0,0,0,183,26,49,0,58,0,26,257,0,0,0,0,0,54,0,0,0,0,25,327,0,0,0,0,0,0,0,75,0,49,85,0,168,22,0,526,0,0,0,0,0,0,0,80,0,0,0,0,0,0,70,0,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,79,0,0,562,0,0,0,60,0,169,246,0,0,131,207,238,239,286,218,161,0,239,210,0,0,0,167,86,107,147,136,0,0,0,0,0,145,50,0,212,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,65,0,0,0,52,1125,106,54,368,64,0,238,172,0,0,16,0,669,95,159,0,102,0,123,0,0,47,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,100,0,14,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,51,93,82,80,0,95,0,29,49,0,0,19,133,78,127,0,92,65,0,0,0,0,0,21,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,593,0,0,61,1714,0,115
0,57,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,218,0,0,0,79,0,0,0,0,0,0,0,0,0,299,168,117,0,262,0,32,0,0,0,0,23,337,596,0,120,0,0,181,82,0,193,342,0,0,0,0,0,0,0,13,0,0,0,0,0,0,32,91,71,0,66,0,0,0
316,207,96,0,0,0,0,0,151,128,0,96,34,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,423,361,1022,279,0,0,0,0
10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,785,0,108,340,104,0,0,0,31,131,851,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,148,0,0,7,18,42,0,0,0,0,0,0,0,35,0,125
0,0,0,160,146,193,189,198,134,135,321,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,8,0,179,0,0,195,0,58,166,150,113,164,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,59,81,30,120,0,8,0,0,5,0,0,0,0,45,244,0,0,0,45,58,134,640,119,24,0,0,99,256,0,0,0,0,94,320,51,0,0,0,0,0,0,0,0,0,82,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,192,130,17,0,0,57,0,355,362,350,79,169,0,43,0,235,144,94,0,154,46,26,0,0,0,10,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,277,48,22,0,0,29,0,461,136,154,157,104,0,123,0,179,83,91,0,194,282,33,0,0,0,58,0,48,19,48,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981,0,0,0,479,656,224,179,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,201,0,0,173,0,0,380,130,0,0,0,0,103,962,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,90,0,0,0,5,35,0,10,0,0,0,0,0,38,0,94
0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,61,0,0,0,0,574,49,48,0,179,0,106,103,82,49,66,0,55,170,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,151
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,51,0,0,0,0,0,0,68,0,0,0,0,0,0,164,0,0,0,0,1098,50,0,0,178,0,81,0,0,0,0,618,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,522,492,0,383,0,0,357,0,274,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,105,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,50,0,0,0,0,0,0,0,0,53,206,0,0,0,0,35,152,276,207,164,128,378,0,89,0,195,95,95,0,61,21,25,0,10,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,110,0,0,370,0,0,0,670,10,234,171,105,57,130,0,202,0,0,0,0,0,0,0,35,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,61,0,0,8,127,222,33,0,137,0,0,0,0,0,0,0,115,147,697,0,34,0,0,59,0,0,73,0,64,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
163,195,59,0,0,49,37,153,260,374,140,142,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,318,0,6,0,0,0,0
0,0,0,0,0,13,0,0,0,0,0,0,0,0,56,0,0,79,0,0,0,0,0,0,0,0,0,44,70,0,0,0,0,0,48,177,192,44,0,0,0,0,0,0,0,43,181,359,56,29,408,0,42,8,12,17,41,0,3,4,0,62,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
0,0,0,0,0,0,253,0,0,0,0,0,46,63,0,49,0,0,0,0,0,0,0,0,0,0,177,13,0,0,0,0,0,265,0,0,0,0,81,229,0,0,0,31,0,251,0,57,0,0,0,0,0,43,0,0,94,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,96,51,22,60,0,0,0,11,23,0,212,127,330,0,231,0,0,99,64,49,43,123,34,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,79,121,123,0,481,0,123,58,112,249,260,0,0,53,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,9,4,119,93,0,0,0,0,15,194,336,227,52,43,0,32,46,141,43,24,0,116,0,71,0,78,0,48,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,74,0,0,0,0,0,0,0,15,7,81,110,66,40,76,47,0,122,279,320,0,159,23,32,0,47,78,0,8,0,109,32,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,160,0,22,0,238,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,32,0,0,0,0,0,0,163,0,208,0,0,0,0,0,123,0,0,65,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0
0,0,41,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,124,0,18,0,0,0,131,278,29,92,65,93,41,0,0,0,0,0,0,200,0,86,0,0,17,0,0,0,0,0,0,0,14,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,320,238,347,0,77,0,57,75,0,0,0,0,0,259,0,0,0,0,0,0,90,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
74,22,50,0,0,0,150,0,240,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,17,0,0,0,0,49,0,0,0,0,53,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,29,0,144,37,0,329,0,0,0,0,0,15,0,0,9,0,138,0,0,89,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,8,0,0,0,0,0,0,0,0,23,153,0,0,0,28,71,150,179,45,57,111,156,0,0,0,83,0,47,0,36,214,0,0,0,0,0,39,91,53,68,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,230,33,0,0,0,0,0,141,179,94,16,244,0,44,97,55,0,20,0,283,10,16,5,21,0,26,0,26,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,212,32,5,0,0,22,0,0,109,39,0,66,19,0,23,0,0,76,0,0,0,9,106,441,0,6,10,0,74,69,42,0,71,62,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,73,102,96,84,0,133,194,325,123,177,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,156,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,28,36,64,0,0,0,0,0,74,0,0,0,44,0,0,0,0,53,0,0,0,118,2,0,0,0,70,245,0,0,0,0,0,175,0,236,0,0,0,0,0,53,0,0,55,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
52,0,75,114,109,79,0,128,125,164,54,145,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,178,0,0,57,0,0,0
0,6,0,0,0,0,0,0,76,66,0,209,0,77,132,43,167,5,0,0,148,0,0,0,68,28,6,0,10,0,0,0,87,63,0,16,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,32,87,0,0,1,0,55,0,0,45,0,19,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,261,11,12,44,92,0,0,247,172,0,0,9,125,0,0,0,17,0,35,0,102,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,125,0,0,0,109,0,0,368,164,131,127,0,233,0,25,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,33,476,0,0,48,160,0,0,0,0,67,315,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,38,0,97
0,0,0,0,0,0,0,0,0,0,0,10,0,23,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,42,0,519,0,0,635,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,34,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,21,35,0,0,0,23,0,0,0,0,0,0,2,277,177,92,117,84,0,119,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,36,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,224,0,0,0,0,0,0,0,0,0,101,36,0,0,40,0,0,0,0,0,0,35,321,244,72,0,0,0,0,0,64,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,4,0,0,0,0,211,106,85,0,215,0,0,230,0,0,0,0,260,0,28,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,35,36,24,1,0,46,0,0,0,0,0,61,99,107,100,0,0,0,0,83,47,47,91,195,0,0,0,0,92,0,0,0,0,0,0,0,110,0,0,62,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,102,20,0,0,0,46,137,273,0,11,0,146,69,47,30,0,35,31,0,84,43,0,16,0,0,0,0,19,0,94,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,55,59,0,0,0,0,0,134,173,126,0,108,0,0,67,252,88,39,0,55,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,495,226,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
